time,x_in,y_out,d_in,err,w0,w1,w2,w3
1930000,     0,  4959,          0,          0,  4456,  4027,  3206,  2262
1940000, -1266,   943,          0,          0,  4456,  4027,  3206,  2262
1950000, -2408, -3166,          0,          0,  4456,  4027,  3206,  2262
1960000, -3314, -6964,          0,          0,  4456,  4027,  3206,  2262
1970000, -3896,-10081,          0,          0,  4456,  4027,  3206,  2262
1980000, -4096,-12211,          0,          0,  4456,  4027,  3206,  2262
1990000, -3896,-13146,          0,          0,  4456,  4027,  3206,  2262
2000000, -3314,-12794,          0,          0,  4456,  4027,  3206,  2262
2010000, -2408,-11190,          0,          0,  4456,  4027,  3206,  2262
2020000, -1266, -8491,          0,          0,  4456,  4027,  3206,  2262
